key,url
intro,https://catalog.charlotte.edu/preview_program.php?catoid=36&poid=10160
dept_civ_env,https://catalog.charlotte.edu/preview_entity.php?catoid=38&ent_oid=2265
dept_ece,https://catalog.charlotte.edu/preview_entity.php?catoid=38&ent_oid=2266
dept_tech_cons,https://catalog.charlotte.edu/preview_entity.php?catoid=38&ent_oid=2267
dept_ind_sys,https://catalog.charlotte.edu/preview_entity.php?catoid=38&ent_oid=2269
dept_mech_sci,https://catalog.charlotte.edu/preview_entity.php?catoid=38&ent_oid=2268
major_bsce_civil,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10707
major_bsce_civil_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10708
major_bsce_civil_land,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10870
major_bscpe_computer,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10711
major_bscpe_computer_ml,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11131
major_dual_bs_computer_physics,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10815
major_bsee_eletrical,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10709
major_bsee_eletrical_ml,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11132
major_bsee_eletrical_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10710
major_bs_environmental,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11156
major_dual_bs_electrial_physics,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10814
major_bsme_mech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10719
major_bsme_mech_biomed,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10843
major_bsme_mech_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10720
major_bsme_mech_motor,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10721
major_bsme_mech_precmet,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11152
major_dual_bs_mech_physics,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10816
major_bsse_systems,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10722
major_bsse_systems_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11071
minor_electrical,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10712
minor_computer,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10713
minor_mechanical,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11150
minor_occsafety,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11429
honors_engineering,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10871
early_ms_energy_electromech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10910
early_ms_civil_eng,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10831
early_ms_computer_eng,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11134
early_ms_cons_fac,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10911
early_msphd_elec_eng,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10832
early_ms_eng_mgmt,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10835
early_ms_fire_safety_mgmt,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11043
early_ms_mech_eng,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10834
early_msphd_optics,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10912
major_bset_civil_engtech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10715
major_bset_civil_engtech_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10874
major_bset_electromech_engtech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10716
major_bset_electromech_engtech_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10875
major_bset_firesafety_engtech_firesafety,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10717
major_bset_firesafety_engtech_occsafety,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11087
major_bset_mech_engtech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10718
major_bset_mech_engtech_energy,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10876
major_bset_mech_engtech_electromech,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=11114
major_bscm_cons_mgmt,https://catalog.charlotte.edu/preview_program.php?catoid=38&poid=10714
